day_and_date,start_time,end_time,title,program_track,location,speakers_or_contributors,keywords_tags,interest_area,registration_category,session_url
"Tuesday, 21 July 2026",2:20pm,2:30pm,MotionBricks: Scalable Real-Time Motions with Modular Latent Generative Model and Smart Primitives,Technical Paper,Room 403 A,Tingwu Wang; Olivier Dionne; Michael De Ruyter; David Minor; Davis Rempe; Kaifeng Zhao; Mathis Petrovich; Ye Yuan; Chenran Li; Zhengyi Luo; Brian Robison; Xavier Blackwell; Bernardo Antoniazzi; Xue Bing Peng; Yuke Zhu; Simon Yuen,Animation; Artificial Intelligence/Machine Learning; Robotics; Simulation,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_706&sess=sess104
"Tuesday, 21 July 2026",2:30pm,2:40pm,Deep Motion Warping via Phase-Conditioned Diffusion Autoencoder,Technical Paper,Room 403 A,Bowen Zheng; Linjun Wu; Xinwei Jiang; Yujin Chai; Zijiao Zeng; He Wang; Xiaogang Jin,Animation; Artificial Intelligence/Machine Learning; Simulation,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_846&sess=sess104
"Tuesday, 21 July 2026",2:40pm,2:50pm,MultiAct: Text-to-Motion Generation from Composite Text via Tailored Attention Guidance,Technical Paper,Room 403 A,Nathan Sala; Ofir Abramovich; Ariel Shamir; Daniel Cohen-Or; Andreas Aristidou; Sigal Raab,Animation; Simulation,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_482&sess=sess104
"Tuesday, 21 July 2026",2:50pm,3:00pm,Autoregressive Diffusion with Hybrid Representation for Interactive Human Motion Generation,Technical Paper,Room 403 A,Kaifeng Zhao; Mathis Petrovich; Haotian Zhang; Tingwu Wang; Siyu Tang; Davis Rempe,Animation; Artificial Intelligence/Machine Learning; Simulation,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_159&sess=sess104
"Tuesday, 21 July 2026",3:00pm,3:30pm,"Motion Generation, Warping & Control - Interactive Discussion",Technical Paper,Room 403 A,,,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=misc_123&sess=sess104
"Tuesday, 21 July 2026",2:00pm,2:50pm,"NVIDIA Physical AI Day | Building Physics-Aware, RTX-Enabled Apps with NVIDIA Omniverse Libraries and AI Agents",Industry Session,Room 502A,,Artificial Intelligence/Machine Learning; Capture/Scanning; Digital Twins; Physical AI; Real-Time; Rendering; Robotics; Simulation,New Technologies,Full Conference Supporter; Full Conference; Experience; Discover,https://s2026.conference-schedule.org/?post_type=page&p=15&id=ind_131&sess=sess552
"Tuesday, 21 July 2026",2:00pm,3:30pm,Parametric Surfaces,Technical Paper,Room 403  B,,Fabrication; Geometry; Modeling; Simulation,Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/null
"Tuesday, 21 July 2026",2:00pm,2:10pm,A Robust and Efficient Intersection Algorithm for NURBS Surfaces: Handling Small Loops and Tangent Intersections,Technical Paper,Room 403  B,Jieyin Yang; Xiaohong Jia; Jieyin Yang,Geometry; Modeling,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=paperstog_130&sess=sess125
"Tuesday, 21 July 2026",2:10pm,2:20pm,Stress-Aware Panelization of Freeform Surfaces,Technical Paper,Room 403  B,Xinzhuo Hu; Roi Poranne; Julian Panetta,Fabrication; Modeling; Simulation,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_1460&sess=sess125
"Tuesday, 21 July 2026",2:20pm,2:30pm,Free-form Surface Approximation Using Rotational Patches,Technical Paper,Room 403  B,Yuanpeng Liu; Yi Min Xie; Ting-Uei Lee; Ziqi Wang; Nico Pietroni; Yuanpeng Liu,Geometry; Modeling,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=paperstog_108&sess=sess125
"Tuesday, 21 July 2026",2:30pm,2:40pm,Continuity-Enhancing Degree Elevation and Splits,Technical Paper,Room 403  B,Cem Yuksel,Geometry; Modeling,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_319&sess=sess125
"Tuesday, 21 July 2026",2:40pm,2:50pm,NeuPPS: Neural Piecewise Parametric Surfaces,Technical Paper,Room 403  B,Lei Yang; Yongqing Liang; Xin Li; Congyi Zhang; Guying Lin; Cheng Lin; Alla Sheffer; Scott Schaefer; John Keyser; Wenping Wang; Lei Yang,Geometry; Modeling,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=paperstog_121&sess=sess125
"Tuesday, 21 July 2026",2:50pm,3:00pm,NeuBase: Spline Surfaces with Neural Basis Functions,Technical Paper,Room 403  B,Anshul Mendiratta; Lei Yang; Xin Li; John Keyser; Scott Schaefer; Wenping Wang,Geometry; Modeling,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_948&sess=sess125
"Tuesday, 21 July 2026",3:00pm,3:30pm,Parametric Surfaces - Interactive Discussion,Technical Paper,Room 403  B,,,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=misc_124&sess=sess125
"Tuesday, 21 July 2026",2:00pm,3:30pm,Performance Focus,Educator's Forum,Room 501 ABC,,Animation; Art; Augmented Reality; Capture/Scanning; Education; Ethics and Society; Generative AI; Math Foundations and Theory; Modeling; Performance; Pipeline Tools and Work; Real-Time; Rendering; Spatial Computing; Virtual Reality,Arts & Design; Gaming & Interactive; New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/null
"Tuesday, 21 July 2026",2:00pm,2:20pm,“Live from LA!”: Facilitating Personal and Political Storytelling through Immersive Youth Theater,Educator's Forum,Room 501 ABC,Ana Cardenas Gasca; Payton Croskey; Xin Xin; Jennifer Jacobs,Art; Augmented Reality; Education; Ethics and Society; Performance,Arts & Design; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_395&sess=sess209
"Tuesday, 21 July 2026",2:20pm,2:40pm,Light Field Cinematography (and the Birth of a Volumetrics Lab),Educator's Forum,Room 501 ABC,C. K. Olsen,Art; Capture/Scanning; Education; Modeling; Performance; Pipeline Tools and Work; Real-Time; Rendering; Spatial Computing,Arts & Design; New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_208&sess=sess209
"Tuesday, 21 July 2026",2:40pm,3:00pm,Stranger Forces: Enhancing Virtual Production with Gen-AI in Real-World College Sponsored Studio Collaborations,Educator's Forum,Room 501 ABC,Christopher Maraffi; Jedidiah Gant; Ryan Khan,Animation; Art; Education; Generative AI; Real-Time; Spatial Computing,Arts & Design; Gaming & Interactive; New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_297&sess=sess209
"Tuesday, 21 July 2026",3:00pm,3:20pm,Developing spatial reasoning skills using virtuality puppets,Educator's Forum,Room 501 ABC,Aline Normoyle; Bronwen Densmore,Capture/Scanning; Education; Math Foundations and Theory; Virtual Reality,Arts & Design; Gaming & Interactive; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_369&sess=sess209
"Tuesday, 21 July 2026",2:00pm,2:30pm,RigX: Rethinking How Characters Are Rigged,Stage Session,West Hall A,,Animation; Art; Augmented Reality; Capture/Scanning; Digital Twins; Games; Industry Insight; Modeling; Performance; Pipeline Tools and Work; Real-Time; Rendering; Simulation; Virtual Reality,Arts & Design; Gaming & Interactive; New Technologies; Production & Animation,Full Conference Supporter; Full Conference; Experience; Discover,https://s2026.conference-schedule.org/?post_type=page&p=15&id=stage_103&sess=sess585
"Tuesday, 21 July 2026",2:00pm,3:00pm,SIGGRAPH Swag Swap and Archive Donation Location,Birds of a Feather,Room 512,Lilly Aulls; Niall Williams; Bonnie Mitchell; Matt Adcock,,,,https://s2026.conference-schedule.org/?post_type=page&p=15&id=bof_155&sess=sess353
"Tuesday, 21 July 2026",2:00pm,3:00pm,Studio Storage: This is an annual discussion of VFX & Animation studios' Large-Scale Storage experiences,Birds of a Feather,JW Marriott - Plaza 1,Eric Bermender; Joe D'Amato; TBD TBD,Artificial Intelligence/Machine Learning; Generative AI; Rendering; Simulation,New Technologies; Production & Animation,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=bof_152&sess=sess350
"Tuesday, 21 July 2026",2:00pm,5:15pm,USD in production,Course,Room 515 A,Pallav Sharma; Nick Porcino; Tabatha Hickman; Martin Davies; Sean Donnelly,Animation; Art; Games; Geometry; Performance; Pipeline Tools and Work,Arts & Design; Gaming & Interactive; Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_225&sess=sess197
"Tuesday, 21 July 2026",2:30pm,4:00pm,Deploying Radiance Fields Across Real-time and Web: Bridging Academia and Industry,Birds of a Feather,Room 510,"Michael Rubloff; Lukasz Mirocha, PhD",,,,https://s2026.conference-schedule.org/?post_type=page&p=15&id=bof_175&sess=sess412
"Tuesday, 21 July 2026",2:30pm,3:30pm,"Sponsored Keynote by Bolt Graphics: Darwesh Singh, Founder, CEO/CTO, Building a GPU for the Future of Computer Graphics",Keynote Speaker,Hall K,Darwesh Singh,,Arts & Design; Gaming & Interactive; New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference; Experience; Discover,https://s2026.conference-schedule.org/?post_type=page&p=15&id=keysp_102&sess=sess360
"Tuesday, 21 July 2026",2:40pm,3:40pm,Emerging Technologies Demo - A LoD of Gaussians: Out-of-Core Training and Rendering for Seamless Ultra-Large Scene Reconstruction,Emerging Technologies; Technical Paper,Concourse Hall,Felix Windisch,,,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=misc_171&sess=sess396
"Tuesday, 21 July 2026",3:00pm,3:50pm,Chaos | Cloud Arena: Bringing Real-Time Ray-Traced Virtual Production to the Global Cloud,Industry Session,Room 511C,,Games; Pipeline Tools and Work; Real-Time; Rendering,Gaming & Interactive; New Technologies,Full Conference Supporter; Full Conference; Experience; Discover,https://s2026.conference-schedule.org/?post_type=page&p=15&id=ind_117&sess=sess515
"Tuesday, 21 July 2026",3:00pm,4:30pm,"Everything you wanted to know about running large-scale, multi-site VFX productions in the real world (what's actually working, and what do we need to fix?)",Birds of a Feather,Room 513,David Conley; Simon Hedges,Animation; Industry Insight; Pipeline Tools and Work,Arts & Design; New Technologies; Production & Animation,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=bof_112&sess=sess292
"Tuesday, 21 July 2026",3:00pm,4:30pm,Global CG Pipelines,Birds of a Feather,JW Marriott - Plaza 1,Ryan Bottriell; Fran Zandonella Benjamin,Pipeline Tools and Work,Gaming & Interactive; New Technologies; Production & Animation,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=bof_154&sess=sess352
"Tuesday, 21 July 2026",3:00pm,3:30pm,Integrating Neural Graphics into Vulkan Rendering Pipelines on Arm: A Fireside Conversation with the Teams Behind Neural Dawn - Arm x Sumo,Stage Session,West Hall A,,Artificial Intelligence/Machine Learning; Games; Graphics Systems Architecture; Hardware; Industry Insight; Performance; Pipeline Tools and Work; Real-Time; Rendering,Gaming & Interactive; New Technologies; Production & Animation,Full Conference Supporter; Full Conference; Experience; Discover,https://s2026.conference-schedule.org/?post_type=page&p=15&id=stage_104&sess=sess586
"Tuesday, 21 July 2026",3:00pm,3:50pm,"NVIDIA Physical AI Day: Autonomous Vehicle Simulation Technologies with NuRec, OmniDreams, 3D Gaussian",Industry Session,Room 502A,,Artificial Intelligence/Machine Learning; Computer Vision; Generative AI; Physical AI; Real-Time; Rendering; Simulation,New Technologies,Full Conference Supporter; Full Conference; Experience; Discover,https://s2026.conference-schedule.org/?post_type=page&p=15&id=ind_133&sess=sess554
"Tuesday, 21 July 2026",3:00pm,4:00pm,"The Future of Web3D: Standards, Performance, and Immersive Experiences",Birds of a Feather,Room 518,ANITA HAVELE,Animation; Artificial Intelligence/Machine Learning; Digital Twins; Real-Time; Rendering; Scientific Visualization; Simulation; Spatial Computing,Gaming & Interactive; Production & Animation; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=bof_144&sess=sess343
"Tuesday, 21 July 2026",3:15pm,5:00pm,Roll for Reality: Virtual Production Improvised D&D Show,Immersive Pavilion; Spatial Storytelling,Concourse Hall,Rene Hernandez-Ayerdis; John Makar; Luke Tannenbaum,Games; Performance; Spatial Computing; Virtual Reality,Gaming & Interactive,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensubcur105&sess=sess380
